VÍA DE ACCESO
CAMBIO DE CARRERA
CAMBIO DE PLAN DE ESTUDIOS
COLEG. BICENTENARIOS
CONTINUIDAD BACHILLER
CUPO 30% SUPERIOR DE SU ESTABLECIMIENTO
CUPO ACADEMIA EMTP-FACTEC
CUPO BEA
CUPO CIENC. MUJERES
CUPO COLEGIOS DE EXCELENCIA ACADEMICA (BICENTENARIOS)
CUPO CONVENIO COLEGIOS
CUPO EDUCADORES LIDERES - PROGRAMA GABRIELA MISTRAL
CUPO HIJO DE FUNCIONARIO
CUPO P.A.E.S
CUPO P.A.E.S - REPOSTULACION
CUPO P.D.T.
CUPO P.D.T. - REPOSTULACION
CUPO P.S.U.
CUPO PACE
CUPO PARA MUJERES CIENCIA Y TECNOLOGIA
CUPO PERSONAS SITUACION DE DISCAPACIDAD
CUPO PROPEDEUTICO - PROGRAMA GABRIELA MISTRAL
CUPO PUEBLOS INDIGENAS
CUPO RANKING 850
CUPO TRANSFORMA ESTEREOTIPOS
EMTP-FACTEC
EXPLORA
INGRESO ESPECIAL PAA / PSU / PDT
INGRESO ESPECIAL VESPERTINO
OTROS
PARES
PROPEDEUTICO
PUEBLOS INDIG.
RANK. 850/1000
