VÍA PAIEP
CAMBIO DE CARRERA 2023-01
CONTINUIDAD BACHILLER 2023-01
CUPO 30% SUPERIOR DE SU ESTABLECIMIENTO 2022-01
CUPO ACADEMIA EMTP-FACTEC 2022-01
CUPO ACADEMIA EMTP-FACTEC 2023-01
CUPO BEA 2021-01
CUPO BEA 2022-01
CUPO BEA 2023-01
CUPO COLEGIOS DE EXCELENCIA ACADEMICA (BICENTENARIOS) 2023-01
CUPO CONVENIO COLEGIOS 2023-01
CUPO EDUCADORES LIDERES - PROGRAMA GABRIELA MISTRAL 2023-01
CUPO HIJO DE FUNCIONARIO 2023-01
CUPO P.A.E.S - REPOSTULACION 2023-01
CUPO P.A.E.S 2023-01
CUPO P.D.T. - REPOSTULACION 2021-01
CUPO P.D.T. - REPOSTULACION 2022-01
CUPO P.D.T. 2021-01
CUPO P.D.T. 2022-01
CUPO P.S.U. 2018-01
CUPO P.S.U. 2019-01
CUPO P.S.U. 2020-01
CUPO PACE 2019-01
CUPO PACE 2020-01
CUPO PACE 2021-01
CUPO PACE 2022-01
CUPO PARA MUJERES CIENCIA Y TECNOLOGIA 2021-01
CUPO PARA MUJERES CIENCIA Y TECNOLOGIA 2023-01
CUPO PARES 2023-01
CUPO PROPEDEUTICO - PROGRAMA GABRIELA MISTRAL 2021-01
CUPO PROPEDEUTICO - PROGRAMA GABRIELA MISTRAL 2022-01
CUPO PUEBLOS INDIGENAS 2022-01
CUPO PUEBLOS INDIGENAS 2023-01
CUPO RANKING 850 2017-01
CUPO RANKING 850 2022-01
CUPO TRANSFORMA ESTEREOTIPOS 2023-01
EXPLORA
INGRESO ESPECIAL VESPERTINO 2023-01
OTROS 2019-01
OTROS 2020-02
OTROS 2021-01
OTROS 2022-01
OTROS 2022-02
PACE 2023
PROPEDEUTICO
RANKING 1000
