0
""
ALGEBRA
ALGEBRA I
ALGEBRA I PARA INGENIERIA
ALGEBRA II
ALGEBRA II PARA INGENIERIA
ALGEBRA LINEAL
ANALISIS ESTADISTICO
ANALISIS ESTADISTICO PARA INGENIERIA
ANATOMIA
ANATOMIA GENERAL
BASES BIOLOGICAS DE LA PSICOLOGIA
BIOFISICA
BIOLOGIA CELULAR
BIOLOGIA CELULAR I
BIOLOGIA GENERAL
CALCULO
CALCULO AVANZADO
CALCULO I
CALCULO I PARA INGENIERIA
"CALCULO I, ALGEBRA I"
CALCULO II
CALCULO II PARA INGENIERIA
CALCULO III
CALCULO III PARA INGENIERIA
CALCULO TECNO
CONTABILIDAD FINANCIERA
CONTABILIDAD FINANCIERA Y TOMA DE DECISIONES
CONTABILIDAD GENERAL
CONTABILIDAD PUBLICA I
COSTOS II
DERECHO CIVIL I
DERECHO DE EMPRESA I
DERECHO ECONOMICO
ECONOMIA II
ECUACIONES DIFERENCIALES
ECUACIONES DIFERENCIALES PARA INGENIERIA
ECUACIONES DIFERENCIALES Y METODOS NUMERICOSA
ELECTRICIDAD Y MAGNETISMO
EPISTEMOLOGIA DE LAS CIENCIAS SOCIALES
ESTADISTICA DESCRIPTIVA
ESTADISTICA II
ESTATICA APLICADA
FAE
FINANZAS I
FISICA
FISICA AMBIENTAL
FISICA ESTATICA
FISICA GENERAL
FISICA I
FISICA I PARA INGENIERIA
FISICA II
FISICA II PARA INGENIERIA
FISICA PARA INGENIERIA ELECTRICA (ELECTROMAGNETISMO)
FISICO QUIMICA I
FISICOQUIMICA
FISICOQUIMICA I PARA INGENIERIA
FISIOLOGIA GENERAL
FISIOLOGIA I
FISIOLOGIA I PARA MEDICINA
FISIOPATOLOGIA
FONETICA APLICADA I
GEOMETRIA
INGLES
INGLES BASICO III
INGLES COMUNICATIVO (FONETICA DE INGLES Y COMPRENSION DE TEXTOS)
INGLES I
INGLES III
INGLES IV
INGLES V
INTRODUCCION A LA FISICA
INTRODUCCION A LA QUIMICA (QUIMICA GENERAL INGENIERIA)
INTRODUCCION AL PENSAMIENTO MATEMATICO
JAPONES V
LECTOESCRITURA Y SOCIALES
LENGUA JAPONESA I
LENGUA JAPONESA V
MATEMATICA III
MATEMATICA PARA LA ADM. Y ECONOMIA II
MATEMATICA Y FISICA
MATEMATICAS
MATEMATICAS I
MATEMATICAS II
MATEMATICAS III
MATEMATICAS PARA LA ADM. Y ECONOMIA I
MATEMATICAS PARA LA ADM. Y ECONOMIA II
MATEMATICAS PARA LA ADM. Y ECONOMIA III
MATEMATICAS PARA LA ADMINISTRACION II
MATEMATICAS PARA LA ADMINISTRACION Y ECONOMIA I
MATEMATICAS PARA LA ADMINISTRACION Y ECONOMIA II
MATEMATICAS Y FISICA
METODOS Y MODELO DE PROYECCION (CALCULO ESTADISTICO CON PROGRAMA STATA)
MICROECONOMIA INTERMEDIA
MUNDO CLASICO Y FORMACION DE OCCIDENTE
PENSAMIENTO LOGICO MATEMATICO
PENSAMIENTO MATEMATICO
PROCESOS CONTABLES II
PSICOLOGIA SOCIAL I
QUIMICA
QUIMICA GENERAL
QUIMICA GENERAL I
QUIMICA GENERAL II
QUIMICA II
QUIMICA INORGANICA I
QUIMICA PARA MEDICINA
RAZONAMIENTO LOGICO-MATEMATICO
SABER FILOSOFICO
SISTEMAS Y USOS LINGUISTICOS DE INGLES I
SISTEMAS Y USOS LINGUISTICOS DEL INGLES I
TEORIA DE LA COMUNICACION II
TEORIAS Y PERSPECTIVAS PSICOLOGICAS II
