CARRERA,FACULTAD
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
TERAPIA OCUPACIONAL,FACULTAD DE CIENCIAS MEDICAS
PSICOLOGIA,FACULTAD DE HUMANIDADES
ENFERMERIA,FACULTAD DE CIENCIAS MEDICAS
KINESIOLOGIA,FACULTAD DE CIENCIAS MEDICAS
PSICOLOGIA,FACULTAD DE HUMANIDADES
CONTADOR PUBLICO Y AUDITOR (DIURNO),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA COMERCIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
PSICOLOGIA,FACULTAD DE HUMANIDADES
PSICOLOGIA,FACULTAD DE HUMANIDADES
INGENIERIA COMERCIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
