0
""
ALGEBRA
ALGEBRA - CALCULO
ALGEBRA 1
ALGEBRA 1 O CALCULO 1
"ALGEBRA 1, CALCULO, FISICA"
ALGEBRA I
ALGEBRA I PARA INGENIERIA
ALGEBRA II
ALGEBRA II PARA INGENIERIA
ALGEBRA LINEAL
ALGEBRA Y TRIGONOMETRIA / GEOMETRIA EL PLANO Y EL ESPACIO
"ALGEBRA, ESTADISTICA DESCRIPTIVA E INGLES"
ANALISIS ESTADISTICO
ANALISIS ESTADISTICO PARA INGENIERIA
ANATOMIA
ANATOMIA ESPECIALIZADA
ANATOMIA GENERAL
BASES BIOLOGICAS DE LA PSICOLOGIA
BASES BIOLOGICAS Y BIOQUIMICAS DEL SER HUMANO (QUIMICA Y BIOLOGIA )
BIOFISICA
BIOFISICA O FISICA
BIOLOGIA CELULAR
BIOLOGIA CELULAR I
BIOQUIMICA
CALCULO
CALCULO 1
CALCULO 2
"CALCULO 2, QUIMICA GENERAL"
CALCULO 3
CALCULO 3 PARA INGENIERIA
CALCULO AVANZADO
CALCULO I
CALCULO I PARA INGENIERIA
"CALCULO I, ALGEBRA I"
CALCULO II
CALCULO II PARA INGENIERIA
CALCULO III
CALCULO III PARA INGENIERIA
CALCULO TECNO
CALCULO Y FISICA
"CALCULO, ALGEBRA, FISICA, QUIMICA"
"CALCULO, ALGEBRA,FISICA"
CONTABILIDAD FINANCIERA
CONTABILIDAD FINANCIERA Y TOMA DE DECISIONES
CONTABILIDAD GENERAL
CONTABILIDAD PUBLICA I
CONTABILIDAD Y MATEMATICAS
COSTOS 1
COSTOS I
COSTOS II
CUALQUIER ASIGNATURA
DERECHO CIVIL I
DERECHO DE EMPRESA I
DERECHO DE TRABAJO I
DERECHO ECONOMICO
DERECHO ROMANO /INGLES
ECONOMIA II
ECUACIONES DIFERENCIALES
ECUACIONES DIFERENCIALES PARA INGENIERIA
ECUACIONES DIFERENCIALES Y METODOS NUMERICOSA
ELECTRICIDAD Y MAGNETISMO
EPISTEMOLOGIA DE LAS CIENCIAS SOCIALES
ESTADISTICA DESCRIPTIVA
ESTADISTICA I
ESTADISTICA II
ESTATICA APLICADA
FINANZAS I
FISICA
FISICA 1
FISICA 2
FISICA AMBIENTAL
FISICA ESTATICA
FISICA I
FISICA I PARA INGENIERIA
"FISICA I, ALGEBRA, CALCULO"
FISICA II
FISICA II PARA INGENIERIA
FISICA O ALGEBRA
FISICA PARA INGENIERIA ELECTRICA (ELECTROMAGNETISMO)
"FISICA, QUIMICA Y CALCULO AVANZADO"
FISICO QUIMICA I
FISICOQUIMICA
FISICOQUIMICA I PARA INGENIERIA
FISIOLOGIA GENERAL
FISIOLOGIA I
FISIOLOGIA I PARA MEDICINA
FISIOPATOLGIA
FISIOPATOLOGIA
FONETICA
FONETICA APLICADA
FONETICA APLICADA I
FUNDAMENTOS DE PROGRAMACION
HISTORIA II
INGLES
INGLES 4
INGLES BASICO III
INGLES COMUNICATIVO (FONETICA DE INGLES Y COMPRENSION DE TEXTOS)
INGLES I
INGLES III
INGLES IV
INGLES V
INSTITUCIONES DE DERECHO ROMANO
INTRODUCCION A LA FISICA
INTRODUCCION A LA MICROECONOMIA
INTRODUCCION A LA QUIMICA (QUIMICA GENERAL INGENIERIA)
INTRODUCCION AL PENSAMIENTO MATEMATICO
IPEMAT
IPEMAT (MATEMATICAS)
IPEMATH
JAPONES
JAPONES V
LENGUA JAPONESA I
LENGUA JAPONESA V
MATEMATICA
MATEMATICA 2
MATEMATICA 3 Y ESTADISTICA PARA LA ADMI Y ECONOMIA 1
MATEMATICA I
MATEMATICA III
MATEMATICA PARA LA ADM. Y ECONOMIA II
MATEMATICA Y ECONOMIA
MATEMATICAS
MATEMATICAS 1
MATEMATICAS 2 Y ALGEBRA LINEAL
MATEMATICAS I
MATEMATICAS II
MATEMATICAS III
MATEMATICAS PARA LA ADM. Y ECONOMIA I
MATEMATICAS PARA LA ADM. Y ECONOMIA II
MATEMATICAS PARA LA ADM. Y ECONOMIA III
MATEMATICAS PARA LA ADMINISTRACION II
MATEMATICAS PARA LA ADMINISTRACION Y ECONOMIA 1
MATEMATICAS PARA LA ADMINISTRACION Y ECONOMIA 2 O ALGEBRA LINEAL
MATEMATICAS PARA LA ADMINISTRACION Y ECONOMIA I
MATEMATICAS PARA LA ADMINISTRACION Y ECONOMIA II
MATEMATICAS PARA LA ECONOMIA 4
"MATEMATICAS, ECONOMIA."
METODOLOGIA CUANTITATIVA 1
METODOS Y MODELO DE PROYECCION (CALCULO ESTADISTICO CON PROGRAMA STATA)
MICROECONOMIA INTERMEDIA
MORFOSINTAXIS DEL CASTELLANO
MORFOSINTAXIS DEL CASTELLANO.
MUNDO CLASICO Y FORMACION DE OCCIDENTE
PEMAT
PEMAT COMO MAYOR PRIORIDAD
PENSAMIENTO LOGICO MATEMATICO
PENSAMIENTO MATEMATICO
"PMAT , PENSAMIENTO MATEMATICO"
PROCESOS CONTABLES II
PROCESOS CONTABLES III Y ESTADISTICA I
PRODUCCION Y COMPRENSION DE TEXTOS ORALES Y ESCRITOS II
PSICOLOGIA SOCIAL I
PSICOLOGIA Y FILOSOFIA
QUIMICA
QUIMICA GENERAL
QUIMICA GENERAL I
QUIMICA GENERAL II
QUIMICA II
QUIMICA INORGANICA I
QUIMICA PARA MEDICINA
QUIMICA Y MATEMATICA
RAZONAMIENTO LOGICO-MATEMATICO
