VÍA DE ACCESO
COLEG. BICENTENARIOS
CUPO BEA
CUPO CIENC. MUJERES
CUPO P.A.E.S
CUPO P.A.E.S - REPOSTULACION
CUPO PACE
EMTP-FACTEC
EXPLORA
PARES
PROPEDEUTICO
PUEBLOS INDIG.
RANK. 850/1000
