CARRERA,FACULTAD
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA DE EJEC. COMPUTACION E INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL METALURGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA MATEMATICA -PLAN 2007-,FACULTAD DE CIENCIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA MATEMATICA -PLAN 2007-,FACULTAD DE CIENCIA
PSICOLOGIA,FACULTAD DE HUMANIDADES
DERECHO,FACULTAD DE DERECHO
DERECHO,FACULTAD DE DERECHO
LICENCIATURA HISTORIA,FACULTAD DE HUMANIDADES
PEDAGOGIA CASTELLANO,FACULTAD DE HUMANIDADES
DERECHO,FACULTAD DE DERECHO
PSICOLOGIA,FACULTAD DE HUMANIDADES
PSICOLOGIA,FACULTAD DE HUMANIDADES
PSICOLOGIA,FACULTAD DE HUMANIDADES
PEDAGOGIA EDUCACION GENERAL BASICA,FACULTAD DE HUMANIDADES
DERECHO,FACULTAD DE DERECHO
DERECHO,FACULTAD DE DERECHO
PSICOLOGIA,FACULTAD DE HUMANIDADES
PSICOLOGIA,FACULTAD DE HUMANIDADES
DERECHO,FACULTAD DE DERECHO
DERECHO,FACULTAD DE DERECHO
DERECHO,FACULTAD DE DERECHO
DERECHO,FACULTAD DE DERECHO
PEDAGOGIA CASTELLANO,FACULTAD DE HUMANIDADES
PEDAGOGIA CASTELLANO,FACULTAD DE HUMANIDADES
PEDAGOGIA EDUCACION GENERAL BASICA,FACULTAD DE HUMANIDADES
PEDAGOGIA FILOSOFIA,FACULTAD DE HUMANIDADES
PEDAGOGIA FILOSOFIA,FACULTAD DE HUMANIDADES
PSICOLOGIA,FACULTAD DE HUMANIDADES
PSICOLOGIA,FACULTAD DE HUMANIDADES
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
PEDAGOGIA CASTELLANO,FACULTAD DE HUMANIDADES
LICENCIATURA ESTUDIOS INTERNACIONALES,FACULTAD DE HUMANIDADES
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (V),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (V),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
PEDAGOGIA QUIMICA Y BIOLOGIA,FACULTAD DE QUIMICA Y BIOLOGIA
OBSTETRICIA Y PUERICULTURA,FACULTAD DE CIENCIAS MEDICAS
PSICOLOGIA,FACULTAD DE HUMANIDADES
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA FISICA,FACULTAD DE CIENCIA
INGENIERIA FISICA,FACULTAD DE CIENCIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA CIVIL GEOGRAFIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA FISICA,FACULTAD DE CIENCIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIA,FACULTAD DE INGENIERIA
INGENIERIA FISICA,FACULTAD DE CIENCIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA FISICA,FACULTAD DE CIENCIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA FISICA,FACULTAD DE CIENCIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA FISICA,FACULTAD DE CIENCIAS
INGENIERIA ESTADISTICA,FACULTAD DE CIENCIAS
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICA,FACULTAD DE INGENIERIA
ARQUITECTURA,VICERRECTORIA ACADEMICA
TUTOR SENIOR,TUTOR SENIOR
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA FISICA,FACULTAD DE CIENCIAS
INGENIERIA FISICA,FACULTAD DE CIENCIAS
INGENIERIA MATEMATICA,FACULTAD DE CIENCIA
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICA,FACULTAD DE INGENIERIA
MAGISTER CIENCIAS DE LA INGENIERIA MENCION INGENIERIA INDUSTRIAL,FACULTAD DE CIENCIA
INGENIERIA CIVIL ELECTRICA,FACULTAD DE INGENIERIA
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
